,ID,Airports,Periods,TotalFlights_3,TotalPassengers_12,EuropeTotal_22,Africa_26,America_32,Asia_36,Oceania_40,OtherUnknown_41,TotalCargo_43,TotalUnloadedCargo_46,TotalLoadedCargo_49,TotalMail_74,TotalUnloadedMail_77,TotalLoadedMail_80,Passengers_flight
0,0,Total Dutch,1997JJ00,400118,32074513,21239558,1223391,6038044,3379017,97868,13484,1196780,595921,600859,       .,       .,       .,"80,16263452"
1,1,Total Dutch,1998JJ00,425608,35129029,23548703,1293242,6367845,3680895,107847,16335,1201848,593966,607882,       .,       .,       .,"82,53846027"
2,2,Total Dutch,1999MM01,33145,2439980,1559839,113309,455002,298997,8776,861,90604,48642,41962,       .,       .,       .,"73,6153266"
3,3,Total Dutch,1999MM02,30912,2405830,1604074,107207,408987,274295,7226,1281,97527,50661,46866,       .,       .,       .,"77,82835145"
4,4,Total Dutch,1999MM03,35591,2905023,1911957,117193,531834,330139,8318,1710,111940,57116,54824,       .,       .,       .,"81,62240454"
5,6,Total Dutch,1999MM04,35832,2983754,2003716,111309,524706,331128,7504,864,100280,51186,49094,       .,       .,       .,"83,27065193"
6,7,Total Dutch,1999MM05,38376,3399339,2354180,111085,588521,326257,6873,817,100009,49961,50048,       .,       .,       .,"88,57981551"
7,8,Total Dutch,1999MM06,37971,3357773,2297541,110111,614953,314288,7428,817,95558,45892,49666,       .,       .,       .,"88,42993337"
8,10,Total Dutch,1999MM07,39824,3753435,2548119,145286,670512,365967,8599,3792,98533,45984,52549,       .,       .,       .,"94,25057754"
9,11,Total Dutch,1999MM08,39908,3850371,2584440,150400,692770,395456,9011,5528,92694,43796,48898,       .,       .,       .,"96,48118172"
10,12,Total Dutch,1999MM09,38969,3610066,2468932,134339,634140,350160,8218,1095,97920,47204,50716,       .,       .,       .,"92,63943134"
11,14,Total Dutch,1999MM10,39553,3577374,2417121,137098,628633,374954,8393,1190,110933,54340,56593,       .,       .,       .,"90,4450737"
12,15,Total Dutch,1999MM11,37387,2889913,1902396,123495,515870,335969,7669,1975,110855,55106,55749,       .,       .,       .,"77,2972691"
13,16,Total Dutch,1999MM12,35119,2531172,1649564,111273,464360,295176,7553,1306,111716,58117,53599,       .,       .,       .,"72,0741479"
14,18,Total Dutch,1999JJ00,442587,37704030,25301879,1472105,6730288,3992786,95568,21236,1218568,608008,610560,       .,       .,       .,"85,19009822"
15,19,Total Dutch,2000MM01,36446,2563382,1653050,119185,468432,314652,8063,0,96348,49971,46377,       .,       .,       .,"70,33369917"
16,20,Total Dutch,2000MM02,36041,2641094,1753422,120893,444379,314562,7838,0,105425,54508,50917,       .,       .,       .,"73,28026414"
17,21,Total Dutch,2000MM03,38790,3162563,2110583,133910,555392,354650,8026,0,114874,58182,56691,       .,       .,       .,"81,53036865"
18,23,Total Dutch,2000MM04,38281,3326762,2241068,130660,575714,371650,7666,0,104199,51998,52201,       .,       .,       .,"86,90373815"
19,24,Total Dutch,2000MM05,41972,3706883,2602356,117623,623217,355707,7976,0,101166,49186,51980,       .,       .,       .,"88,31799771"
20,25,Total Dutch,2000MM06,40483,3661177,2540998,118850,655471,339040,6818,0,99010,47908,51102,       .,       .,       .,"90,43739347"
21,27,Total Dutch,2000MM07,42092,4121196,2837159,159020,714381,403142,7494,0,101607,45985,55623,       .,       .,       .,"97,90924641"
22,28,Total Dutch,2000MM08,42255,4096727,2807034,169166,702802,409908,7817,0,97492,45074,52418,       .,       .,       .,"96,952479"
23,29,Total Dutch,2000MM09,40476,3897872,2709597,149495,651033,380468,7279,0,106088,50605,55483,       .,       .,       .,"96,30082024"
24,31,Total Dutch,2000MM10,41254,3803796,2627702,152229,620993,394934,7938,0,113536,53843,59693,       .,       .,       .,"92,20429534"
25,32,Total Dutch,2000MM11,37280,3004146,1990482,135438,521696,348726,7797,0,112475,53461,59013,       .,       .,       .,"80,58331545"
26,33,Total Dutch,2000MM12,35192,2783392,1801015,130309,505127,338342,8599,0,115491,57407,58084,       .,       .,       .,"79,09161173"
27,35,Total Dutch,2000JJ00,470562,40768990,27674466,1636778,7038637,4325781,93311,0,1267709,618126,649583,       .,       .,       .,"86,63893387"
28,36,Total Dutch,2001MM01,37077,2780249,1782728,139257,495888,353274,9102,0,97733,50142,47591,       .,       .,       .,"74,98581331"
29,37,Total Dutch,2001MM02,34265,2667331,1774056,128837,432925,324347,7164,0,102591,50634,51957,       .,       .,       .,"77,84418503"
30,38,Total Dutch,2001MM03,38876,3255834,2170145,145196,554418,380875,5198,0,114783,55968,58815,       .,       .,       .,"83,74920259"
31,40,Total Dutch,2001MM04,37447,3457934,2346581,136443,598527,376383,0,0,100397,48364,52033,       .,       .,       .,"92,34208348"
32,41,Total Dutch,2001MM05,41159,3782078,2684492,123465,618800,355295,0,0,97772,46306,51466,       .,       .,       .,"91,8894531"
33,42,Total Dutch,2001MM06,40153,3841225,2672823,137262,660362,370778,0,0,96128,43302,52825,       .,       .,       .,"95,66470749"
34,44,Total Dutch,2001MM07,42528,4278757,2977031,169451,691964,440309,0,0,91261,39435,51826,       .,       .,       .,"100,6103508"
35,45,Total Dutch,2001MM08,42681,4246834,2922400,179301,689852,455281,0,0,90686,41020,49666,       .,       .,       .,"99,50174551"
36,46,Total Dutch,2001MM09,40643,3719690,2658705,149665,537573,373557,0,0,97792,44641,53152,       .,       .,       .,"91,52104914"
37,48,Total Dutch,2001MM10,40724,3376995,2440605,144036,465976,326378,0,0,108848,51162,57686,       .,       .,       .,"82,92395148"
38,49,Total Dutch,2001MM11,34054,2730083,1903957,119797,419974,286355,0,0,109989,52870,57118,       .,       .,       .,"80,16923122"
39,50,Total Dutch,2001MM12,32587,2652554,1764491,127248,453844,306971,0,0,109453,54170,55282,       .,       .,       .,"81,3991469"
